timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1757779200,Sep 13 2025 - 4:00pm,complete,N/A,Juventus,Inter Milan,N/A,3,3.00,0.00,2.00,1.50,4,3,7,3,2,1,"38,82,90'1,14","30,65,76",5,9,2,0,2,0,1,1,0,2,12,18,4,4,8,14,14,10,41,59,2.60,0.00,1.25,1.94,1.00,0,50,0,0,0,0,0,50,50,6.00,3.00,2.63,2.93,2.87,1.40,2.18,3.80,8.00,1.90,1.91,N/A
1757789100,Sep 13 2025 - 6:45pm,complete,N/A,Fiorentina,Napoli,N/A,3,0.00,3.00,0.00,2.00,1,3,4,2,0,2,"79","51,6,14",8,5,0,0,0,0,0,0,0,0,19,14,3,9,16,5,14,14,53,47,0.00,1.32,1.75,1.74,1.00,0,50,0,0,0,0,50,0,50,2.00,1.00,3.45,3.00,2.25,1.43,2.05,4.33,8.70,2.00,1.78,Stadio Artemio Franchi
1757845800,Sep 14 2025 - 10:30am,complete,N/A,Roma,Torino,N/A,3,3.00,0.00,2.00,1.00,0,1,1,0,0,0,"","59",7,4,2,0,3,0,0,2,2,1,22,8,5,4,17,4,11,17,73,27,1.43,1.23,2.27,0.99,3.00,0,50,50,50,50,50,50,50,100,7.00,1.00,1.53,4.22,6.85,1.32,1.94,3.45,6.50,2.09,1.69,Stadio Olimpico
1757854800,Sep 14 2025 - 1:00pm,complete,N/A,Pisa,Udinese,N/A,3,0.00,3.00,0.33,2.00,0,1,1,1,0,1,"","14",8,6,1,0,2,0,1,0,1,1,12,13,2,3,10,10,13,15,51,49,0.82,1.18,1.20,1.34,2.00,50,50,50,0,0,50,50,0,50,3.00,5.00,2.93,3.00,2.75,1.39,2.44,4.30,8.90,1.91,1.85,Arena Garibaldi - Stadio Romeo Anconetani
1757854800,Sep 14 2025 - 1:00pm,complete,N/A,Atalanta,Lecce,N/A,3,1.00,1.00,1.67,1.33,4,1,5,1,1,0,"37,70,51,73","82",8,2,0,0,0,0,0,0,0,0,19,12,8,3,11,9,12,7,57,43,2.26,0.76,2.20,1.37,1.00,50,50,0,0,0,0,50,0,50,17.00,5.00,1.38,4.55,8.75,1.25,1.83,2.88,5.25,2.07,1.78,Stadio Atleti Azzurri d'Italia
1757865600,Sep 14 2025 - 4:00pm,complete,N/A,Sassuolo,Lazio,N/A,3,0.00,0.00,2.00,1.00,1,0,1,0,0,0,"70","",3,7,6,0,3,0,2,4,2,1,10,13,3,3,7,10,15,11,41,59,0.77,0.56,1.13,1.44,2.00,0,100,0,0,0,0,50,50,100,1.00,6.00,3.50,3.45,1.95,1.27,2.02,2.95,6.10,1.70,2.00,MAPEI Stadium - Città del Tricolore
1757875500,Sep 14 2025 - 6:45pm,complete,N/A,AC Milan,Bologna,N/A,3,0.00,0.00,2.00,0.33,1,0,1,0,0,0,"61","",7,4,3,0,2,0,3,0,0,2,14,5,3,0,11,5,17,16,39,61,2.48,0.92,1.32,0.56,2.00,50,50,50,0,0,50,50,0,100,13.00,2.00,1.83,3.40,4.66,1.30,1.91,3.40,6.00,1.85,1.83,Stadio Giuseppe Meazza
1757953800,Sep 15 2025 - 4:30pm,complete,N/A,Hellas Verona,Cremonese,N/A,3,0.00,3.00,0.67,1.25,0,0,0,0,0,0,"","",10,1,2,0,1,0,2,0,0,1,20,6,9,2,11,4,18,3,46,54,0.00,0.68,2.22,0.69,1.50,50,50,50,0,0,50,50,0,50,2.00,4.00,2.90,3.05,2.97,1.48,2.25,4.60,8.40,1.95,1.74,Stadio Marc'Antonio Bentegodi
1757961900,Sep 15 2025 - 6:45pm,complete,N/A,Como,Genoa,N/A,3,3.00,0.00,1.67,0.33,1,1,2,1,1,0,"13","90'2",0,8,2,1,2,0,1,2,1,1,13,12,4,6,9,6,13,17,53,47,2.05,0.00,1.34,1.44,1.00,0,50,0,0,0,0,0,50,50,6.00,2.00,1.63,3.70,5.85,1.34,2.10,3.75,6.75,2.00,1.69,Stadio Giuseppe Sinigaglia
1758307500,Sep 19 2025 - 6:45pm,complete,N/A,Lecce,Cagliari,N/A,4,0.00,0.00,0.33,1.33,1,2,3,2,1,1,"5","71,33",4,7,2,0,3,0,2,0,1,2,11,15,5,6,6,9,10,19,52,48,0.87,0.83,1.37,1.67,1.50,0,50,0,0,0,0,0,50,100,4.00,2.00,2.64,2.89,2.90,1.53,2.23,4.75,11.00,2.00,1.70,Stadio Comunale Via del Mare
